,Domain Rating,Organic Traffic,Organic Keywords
kavala-online.com,0,1,37
siegburg-regio.de,0,2,27
chur-Lokal.ch,0,0,2
Duelmen-lokal.de,0,0,0
schaffhausen-lokal.ch,0,0,0
kaiserslautern-regional.de,"0,2",0,0
wesel-kurier.de,0,0,11
herfordkurier.de,0,0,0
Wesel-Lokal.de,0,18,76
https://hanau-kurier.de/,0,0,0
essen-regio.de,"0,9",0,5
germering-lokal.de,"2,1",1,36
dueren-now.de,0,0,0
koblenz-blatt.de,0,0,56
uckermark-entdecken.de,"0,9",0,0
Husum-lokal.de,0,0,10
bayerwald-lokal.de,0,0,0
artland-regional.de,0,0,18
villach-online.at,7,0,36
http://ludwigshafen-lokal.de/,"2,9",7,19
http://speyer-zeitung.de/,3,5,33
http://landau-online.de/,3,30,73
https://obertshausen-lokal.de/,0,0,13
Cottbus-Lokal.de,0,3,34
melle-news.de,0,0,0
offenburg-regio.de,0,0,0
berlin-stadtanzeiger.de,0,0,0
weinheim-news.de,0,0,0
marburg-lokal.de,0,1,26
esslingenamneckar-regional.de,0,0,0
luebeck-travemuende-lokal.de,0,0,0
Erlagen-lokal.de,0,0,0
saarlouis-regio.de,0,12,20
www.esslingen-lokal.de,0,0,0
kassel-fulletown.de,0,1,51
www.baden-badener-kurier.de,0,0,0
dorsten-lokal.de,0,1,18
osnabruecker-anzeiger.de,0,0,61
https://www.germering-lokal.de/,"2,1",1,36
Hildesheim-lokal.de,"0,3",4,50
enneperuhr-lokal.de,0,0,18
iserlohn-direkt.de,0,1,20
https://boeblingen-lokal.de/,0,1,45
https://flensburg-entdecken.de/,0,4,55
Trier-Anzeiger.de,0,0,13
cottbus-zeitung.de,0,0,13
berlin-entdecker-regional.de,0,0,24
Schwabinger-news.de,0,2,46
Badhomburg-lokal.de,0,1,34
hohenlohe-magazin.de,0,0,8
Minden-info.de,0,1,24
Herford-regio.de,0,0,4
Herne-Regio.de,0,1,45
Zwickau-Magazin.de,0,2,20
https://ansbach-anzeiger.de/,0,1,39
hamm-kurier.de,6,5,71
kempten-regio.de,0,0,29
salzkammergut-regional.at,0,0,25
bensheim-lokal.de,0,2,38
neuss-lokal.de,0,1,23
neuss-lokal.de,0,1,23
www.memmingen-aktuell.de,0,0,0
Dortmund-Lokal.de,"0,2",0,15
sauerland-regional.de,0,0,0
auswandern-online.de,"1,3",0,4
https://bruchsal-regio.de/,"0,4",4,11
https://essen-regionalblatt.de/,0,0,0
mein-spandau.com,"0,4",12,68
fuerth-fakten.de,0,0,0
berlin-stadt-erleben.de,0,0,0
neuss-region.de,0,0,0
https://goerlitz-regio.de/,0,2,27
hildesheim-lokal.de,0,4,40
